,recipient,date,quantity,sales
341,10668,2016-04-01,6025.0,2408.0
342,10668,2016-05-01,12182.0,4084.0
343,10668,2016-06-01,17952.0,5684.0
344,10668,2016-07-01,6156.0,2212.0
345,10668,2016-08-01,36594.0,11517.0
346,10668,2016-09-01,7740.0,1894.0
347,10668,2016-10-01,15285.0,4202.0
348,10668,2016-11-01,2788.0,1122.0
349,10668,2016-12-01,29890.0,9855.0
350,10668,2017-01-01,5377.0,2032.0
351,10668,2017-02-01,985.0,310.0
352,10668,2017-03-01,16116.0,4708.0
353,10668,2017-04-01,660.0,203.0
354,10668,2017-05-01,21073.0,5947.0
355,10668,2017-06-01,6904.0,3192.0
356,10668,2017-07-01,16432.0,6002.0
357,10668,2017-08-01,3380.0,1707.0
358,10668,2017-09-01,22009.0,6973.0
359,10668,2017-10-01,15514.0,5636.0
360,10668,2017-11-01,8370.0,2847.0
361,10668,2018-01-01,16435.0,5986.0
362,10668,2018-02-01,3801.0,1889.0
363,10668,2018-03-01,12225.0,5491.0
364,10668,2018-04-01,25473.0,8277.0
365,10668,2018-05-01,25394.0,9056.0
366,10668,2018-06-01,20955.0,2760.0
367,10668,2018-07-01,4483.0,1723.0
368,10668,2018-08-01,1177.0,399.0
369,10668,2018-09-01,6619.0,2495.0
370,10668,2018-10-01,6075.0,2723.0
371,10668,2018-11-01,9000.0,2921.0
372,10668,2018-12-01,37926.0,11142.0
373,10668,2019-01-01,37660.0,11661.0
374,10668,2019-02-01,6628.0,1521.0
375,10668,2019-03-01,22549.0,8291.0
376,10668,2019-04-01,10344.0,2553.0
377,10668,2019-05-01,15091.0,4394.0
378,10668,2019-06-01,21461.0,4736.0
379,10668,2019-07-01,64372.0,21576.0
380,10668,2019-08-01,10221.0,2565.0
381,10668,2019-09-01,7583.0,2525.0
382,10668,2019-10-01,6740.0,973.0
383,10840,2015-02-01,1458.0,284.0
384,10840,2017-04-01,765.0,291.0
385,10840,2017-05-01,1590.0,779.0
386,10840,2017-06-01,2387.0,905.0
387,10840,2017-07-01,33.0,0.0
388,10840,2017-09-01,2679.0,1324.0
389,10840,2017-10-01,2811.0,1267.0
390,10840,2017-11-01,1749.0,700.0
391,10840,2017-12-01,851.0,323.0
392,10840,2018-01-01,22293.0,3949.0
393,10840,2018-03-01,5318.0,2600.0
394,10840,2018-05-01,6450.0,3259.0
395,10840,2018-07-01,11908.0,2978.0
396,10840,2018-08-01,792.0,322.0
397,10840,2018-10-01,9917.0,3024.0
398,10840,2018-11-01,825.0,335.0
399,10840,2018-12-01,12759.0,2083.0
400,10840,2019-01-01,1749.0,490.0
401,10840,2019-02-01,32033.0,5042.0
402,10840,2019-03-01,46533.0,5844.0
403,10840,2019-05-01,1650.0,670.0
404,10840,2019-06-01,17514.0,4680.0
405,10840,2019-07-01,17090.0,3147.0
406,10840,2019-08-01,3300.0,1376.0
407,10840,2019-10-01,19088.0,3693.0
408,10950,2015-07-01,2129.0,1067.0
409,10950,2016-06-01,2145.0,1075.0
410,10950,2017-07-01,1980.0,992.0
411,10950,2018-04-01,1980.0,992.0
412,10950,2019-08-01,1980.0,992.0
413,11040,2015-06-01,5352.0,1124.0
414,11040,2015-07-01,2432.0,328.0
415,11040,2016-02-01,2432.0,328.0
416,11040,2016-03-01,2112.0,444.0
417,11040,2016-08-01,3756.0,753.0
418,11040,2016-11-01,8402.0,1586.0
419,11040,2017-01-01,3276.0,688.0
420,11040,2017-04-01,5388.0,1105.0
421,11040,2017-05-01,4284.0,900.0
422,11040,2017-07-01,3907.0,591.0
423,11040,2017-10-01,5238.0,1100.0
424,11040,2018-02-01,5625.0,1181.0
425,11040,2018-09-01,3296.0,428.0
426,11040,2019-07-01,2816.0,366.0
427,11051,2015-04-01,3500.0,1295.0
428,11051,2015-08-01,4792.0,1773.0
429,11051,2016-03-01,3675.0,1360.0
430,11051,2016-06-01,7445.0,2754.0
431,11051,2017-05-01,3528.0,1305.0
432,11051,2017-06-01,5460.0,2020.0
433,11051,2017-10-01,5240.0,1939.0
434,11051,2018-04-01,7382.0,2731.0
435,11051,2018-07-01,2380.0,881.0
436,11051,2018-11-01,1750.0,648.0
437,11051,2019-02-01,4701.0,1739.0
438,11051,2019-06-01,4778.0,1768.0
439,11056,2015-03-01,743.0,338.0
440,11056,2015-08-01,72.0,19.0
441,11056,2017-11-01,44.0,0.0
442,11126,2015-06-01,20998.0,4095.0
443,11126,2016-04-01,21137.0,4122.0
444,11126,2016-10-01,21483.0,4189.0
445,11126,2017-09-01,20998.0,4095.0
446,11126,2018-06-01,20998.0,4095.0
447,11126,2019-03-01,20790.0,4054.0
448,11167,2015-07-01,1497.0,534.0
449,11167,2016-04-01,2589.0,923.0
450,11167,2016-05-01,11.0,0.0
451,11167,2016-06-01,50.0,0.0
452,11167,2017-04-01,2409.0,859.0
453,11167,2017-10-01,672.0,240.0
454,11167,2018-01-01,936.0,334.0
455,11167,2018-04-01,1569.0,559.0
456,11167,2018-12-01,1764.0,676.0
457,11167,2019-10-01,2433.0,932.0
458,11192,2016-05-01,8415.0,3583.0
459,11192,2018-02-01,9966.0,4107.0
460,11349,2018-05-01,9441.0,1718.0
461,11349,2019-06-01,11562.0,2104.0
462,11349,2019-10-01,17181.0,3127.0
463,11403,2015-06-01,4224.0,2049.0
464,11403,2015-12-01,4392.0,2130.0
465,11403,2016-07-01,4320.0,2095.0
466,11403,2016-11-01,4368.0,2118.0
467,11403,2017-06-01,4248.0,2060.0
468,11403,2017-09-01,4248.0,2060.0
469,11403,2018-01-01,4320.0,2095.0
470,11403,2018-07-01,4416.0,2142.0
471,11403,2018-11-01,4320.0,2095.0
472,11403,2019-03-01,4200.0,2037.0
473,11403,2019-06-01,4320.0,2095.0
474,11403,2019-09-01,4320.0,2095.0
475,11463,2015-09-01,2442.0,475.0
476,11463,2016-12-01,2442.0,398.0
477,11463,2017-05-01,2458.0,401.0
478,11463,2018-09-01,2458.0,401.0
479,11463,2019-06-01,2189.0,317.0
480,11463,2019-10-01,2426.0,395.0
481,11464,2015-02-01,1302.0,274.0
482,11464,2015-03-01,118.0,55.0
483,11464,2015-04-01,2660.0,572.0
484,11464,2015-06-01,3702.0,795.0
485,11464,2015-07-01,2829.0,599.0
486,11464,2015-10-01,3461.0,741.0
487,11464,2016-01-01,4274.0,906.0
488,11464,2016-03-01,3315.0,714.0
489,11464,2016-04-01,1058.0,236.0
490,11464,2016-06-01,2475.0,521.0
491,11464,2016-09-01,2253.0,487.0
492,11464,2016-10-01,2076.0,437.0
493,11464,2016-11-01,2334.0,494.0
494,11464,2016-12-01,1661.0,349.0
495,11464,2017-02-01,2084.0,439.0
496,11464,2017-03-01,3027.0,665.0
497,11464,2017-04-01,3189.0,712.0
498,11464,2017-05-01,2466.0,519.0
499,11464,2017-08-01,34.0,227.0
500,11464,2017-10-01,2103.0,458.0
501,11464,2017-12-01,5764.0,1219.0
502,11464,2018-01-01,962.0,215.0
503,11464,2018-03-01,2590.0,557.0
504,11464,2018-04-01,2279.0,480.0
505,11464,2018-06-01,2109.0,450.0
506,11464,2018-07-01,3816.0,815.0
507,11464,2018-09-01,3645.0,700.0
508,11464,2018-11-01,2516.0,536.0
509,11464,2019-01-01,3421.0,748.0
510,11464,2019-02-01,3639.0,770.0
511,11464,2019-07-01,3935.0,847.0
512,11464,2019-08-01,505.0,113.0
513,11464,2019-09-01,3497.0,745.0
514,11464,2019-10-01,4167.0,883.0
515,11465,2015-02-01,2966.0,371.0
516,11465,2015-03-01,3418.0,435.0
517,11465,2015-04-01,2758.0,353.0
518,11465,2015-05-01,1944.0,251.0
519,11465,2015-06-01,749.0,94.0
520,11465,2015-08-01,734.0,92.0
521,11465,2015-09-01,5468.0,683.0
522,11465,2015-11-01,1212.0,151.0
523,11467,2015-02-01,1650.0,254.0
524,11467,2015-03-01,13200.0,1965.0
525,11467,2015-04-01,2750.0,406.0
526,11467,2015-05-01,1650.0,254.0
527,11467,2015-06-01,6875.0,1034.0
528,11467,2015-07-01,14300.0,2128.0
529,11467,2015-08-01,9075.0,1361.0
530,11467,2015-09-01,3300.0,509.0
531,11467,2015-10-01,13575.0,2238.0
532,11467,2015-11-01,14850.0,2209.0
533,11467,2015-12-01,9350.0,1363.0
534,11467,2016-02-01,11000.0,1651.0
535,11467,2016-03-01,1650.0,254.0
536,11467,2016-04-01,9350.0,1399.0
537,11467,2016-05-01,8250.0,1234.0
538,11467,2016-06-01,6300.0,929.0
539,11467,2016-07-01,8250.0,1204.0
540,11467,2016-08-01,1650.0,254.0
541,11467,2016-11-01,8250.0,1234.0
542,11467,2016-12-01,5500.0,828.0
543,11467,2017-01-01,5500.0,828.0
544,11467,2017-02-01,9450.0,1393.0
545,11467,2017-04-01,5500.0,828.0
546,11467,2017-05-01,1650.0,254.0
547,11467,2017-06-01,6.0,0.0
548,11467,2017-07-01,5500.0,828.0
549,11467,2017-08-01,5500.0,828.0
550,11467,2017-10-01,5500.0,971.0
551,11467,2017-11-01,12600.0,1857.0
552,11467,2018-01-01,2750.0,406.0
553,11467,2018-06-01,1485.0,229.0
554,11467,2018-09-01,182.0,0.0
555,11467,2018-10-01,6600.0,975.0
556,11467,2018-11-01,5500.0,813.0
557,11467,2019-04-01,347.0,0.0
558,11467,2019-06-01,437.0,0.0
559,11467,2019-07-01,1144.0,565.0
560,11467,2019-08-01,2750.0,406.0
561,11467,2019-09-01,2750.0,406.0
562,11467,2019-10-01,330.0,212.0
563,11469,2015-02-01,60999.0,6645.0
564,11469,2015-03-01,69165.0,7498.0
565,11469,2015-04-01,68055.0,7440.0
566,11469,2015-05-01,40442.0,4782.0
567,11469,2015-06-01,71096.0,8059.0
568,11469,2015-07-01,92855.0,10908.0
569,11469,2015-08-01,891.0,105.0
570,11469,2015-09-01,46737.0,5409.0
571,11469,2015-12-01,10427.0,1022.0
572,11469,2016-01-01,7749.0,794.0
573,11469,2016-02-01,9983.0,978.0
574,11469,2016-03-01,6656.0,652.0
575,11469,2016-04-01,17550.0,1720.0
576,11469,2016-05-01,7308.0,857.0
577,11469,2016-07-01,33512.0,3931.0
578,11469,2016-08-01,2475.0,243.0
579,11469,2016-12-01,7772.0,762.0
580,11469,2017-01-01,8.0,0.0
581,11483,2015-02-01,91150.0,27961.0
582,11483,2015-03-01,47156.0,24068.0
583,11483,2015-04-01,86442.0,17865.0
